Dataset: emnist
Number of clients: 12
Number of splits: 100
Number of training rounds: 20
Number of selected clients per round: 10
Server values: 
round, accuracy, accumulated_time
1, 0.2709, 10.452300786972046
2, 0.28025, 19.80099368095398
3, 0.3307, 29.389527320861816
4, 0.365875, 39.03742837905884
5, 0.445175, 48.90465998649597
6, 0.465475, 58.76021862030029
7, 0.4977, 68.54761910438538
8, 0.53635, 77.69671630859375
9, 0.636925, 87.51328778266907
10, 0.64745, 97.1729884147644
11, 0.77685, 107.17892789840698
12, 0.8055, 117.15982842445374
13, 0.8702, 127.16246891021729
14, 0.88055, 136.85474729537964
15, 0.83385, 146.68537211418152
16, 0.9123, 156.93221354484558
17, 0.916925, 166.79278349876404
18, 0.91895, 176.887512922287
19, 0.8985, 186.03234696388245
20, 0.919275, 195.54097986221313
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.2904861111111111, 9.805
1, 0.28725694444444444, 8.306666666666667
2, 0.3408333333333333, 8.912500000000001
3, 0.38204861111111105, 8.9425
4, 0.4532986111111111, 9.255
5, 0.491423611111111, 9.304999999999998
6, 0.5346180555555556, 9.361666666666666
7, 0.5903819444444445, 8.085833333333333
8, 0.6830208333333334, 9.315
9, 0.7597222222222221, 9.108333333333334
10, 0.8405208333333333, 9.526666666666666
11, 0.8785416666666667, 9.489166666666668
12, 0.9258680555555556, 9.415000000000001
13, 0.9322569444444445, 8.859166666666667
14, 0.9615277777777779, 9.2225
15, 0.9755555555555556, 9.514166666666666
16, 0.9739930555555557, 9.264166666666666
17, 0.9704166666666668, 9.506666666666666
18, 0.9772916666666666, 8.0425
19, 0.9775347222222223, 8.610833333333334
