Dataset: emnist
Number of clients: 6
Number of splits: 100
Number of training rounds: 10
Number of selected clients per round: 4
Server values: 
round, accuracy, accumulated_time
1, 0.282825, 4.373133659362793
2, 0.4851, 8.75562858581543
3, 0.571525, 13.02805757522583
4, 0.61225, 17.63226842880249
5, 0.7271, 21.997801780700684
6, 0.793425, 26.717427015304565
7, 0.861875, 31.09988498687744
8, 0.2862, 35.585394859313965
9, 0.580275, 39.78117775917053
10, 0.684575, 43.71636724472046
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.33284722222222224, 4.066666666666666
1, 0.5072222222222221, 4.068333333333333
2, 0.5986111111111111, 3.9066666666666667
3, 0.6971527777777777, 4.34
4, 0.8066666666666666, 3.8000000000000003
5, 0.8734722222222223, 4.425
6, 0.9375, 3.9166666666666665
7, 0.7561805555555555, 3.9633333333333334
8, 0.6984722222222223, 3.8533333333333335
9, 0.8093749999999998, 3.4266666666666663
