Dataset: emnist
Number of clients: 3
Number of splits: 100
Number of training rounds: 20
Number of selected clients per round: 3
Server values: 
round, accuracy, accumulated_time
1, 0.270475, 2.7631070613861084
2, 0.376325, 4.890054702758789
3, 0.4283, 6.625685930252075
4, 0.4435, 8.725457668304443
5, 0.462775, 11.034266471862793
6, 0.4665, 13.270435571670532
7, 0.4671, 15.017622470855713
8, 0.4891, 17.209983348846436
9, 0.5024, 19.305700540542603
10, 0.495625, 21.93354821205139
11, 0.5092, 24.43302059173584
12, 0.51165, 26.556091785430908
13, 0.507225, 28.761279344558716
14, 0.51275, 30.9735324382782
15, 0.516325, 33.35778999328613
16, 0.516625, 35.31327414512634
17, 0.518875, 37.45937180519104
18, 0.519125, 39.464150190353394
19, 0.5486, 42.25590109825134
20, 0.524275, 44.35921621322632
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.31375, 2.5066666666666664
1, 0.40458333333333335, 1.93
2, 0.44569444444444445, 1.4833333333333334
3, 0.46597222222222223, 1.8033333333333335
4, 0.4961111111111111, 2.0966666666666667
5, 0.47680555555555554, 1.8666666666666665
6, 0.4988888888888889, 1.4066666666666665
7, 0.5233333333333334, 1.86
8, 0.5197222222222222, 1.7733333333333334
9, 0.5297222222222223, 2.376666666666667
10, 0.5331944444444444, 2.2433333333333336
11, 0.5208333333333334, 1.9266666666666665
12, 0.53625, 2.0366666666666666
13, 0.5456944444444445, 1.9166666666666667
14, 0.5595833333333333, 2.1599999999999997
15, 0.5395833333333333, 1.7266666666666668
16, 0.5540277777777777, 1.9366666666666665
17, 0.5341666666666667, 1.7599999999999998
18, 0.5526388888888889, 2.5933333333333333
19, 0.5436111111111112, 1.883333333333333
