Dataset: emnist
Number of clients: 6
Number of splits: 100
Number of training rounds: 20
Number of selected clients per round: 6
Server values: 
round, accuracy, accumulated_time
1, 0.27145, 4.607602834701538
2, 0.2794, 9.115642309188843
3, 0.3889, 13.85731816291809
4, 0.436475, 18.34695267677307
5, 0.446, 23.181126594543457
6, 0.45075, 27.62136697769165
7, 0.452875, 32.38131856918335
8, 0.451225, 36.7881646156311
9, 0.45235, 41.12983465194702
10, 0.453725, 45.947004318237305
11, 0.456175, 50.299601316452026
12, 0.4598, 55.2046332359314
13, 0.476375, 59.99365949630737
14, 0.478625, 64.88050031661987
15, 0.495925, 69.3958740234375
16, 0.4893, 73.89406776428223
17, 0.49605, 78.13504981994629
18, 0.5092, 83.24564242362976
19, 0.5022, 87.69111275672913
20, 0.51085, 92.51801013946533
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.2960416666666667, 4.176666666666667
1, 0.31097222222222226, 4.236666666666667
2, 0.41194444444444445, 4.331666666666666
3, 0.4563888888888889, 4.168333333333333
4, 0.4659722222222222, 4.5
5, 0.47388888888888886, 4.0249999999999995
6, 0.4775694444444445, 4.361666666666666
7, 0.47888888888888886, 3.9433333333333334
8, 0.47875, 3.948333333333333
9, 0.47312499999999996, 4.418333333333333
10, 0.4861111111111111, 3.828333333333333
11, 0.49486111111111114, 4.591666666666668
12, 0.5141666666666668, 4.416666666666667
13, 0.5054166666666666, 4.528333333333333
14, 0.5347916666666667, 4.1066666666666665
15, 0.5236111111111111, 4.081666666666667
16, 0.5214583333333334, 3.6916666666666664
17, 0.5432638888888889, 4.681666666666666
18, 0.5347916666666667, 4.123333333333333
19, 0.5273611111111111, 4.505
