Dataset: emnist
Number of clients: 6
Number of splits: 100
Number of training rounds: 20
Number of selected clients per round: 4
Server values: 
round, accuracy, accumulated_time
1, 0.2676, 5.6560773849487305
2, 0.28795, 9.97852110862732
3, 0.4583, 14.55573034286499
4, 0.560675, 19.58450484275818
5, 0.690575, 24.6366708278656
6, 0.737025, 29.761220932006836
7, 0.85705, 34.3928062915802
8, 0.902625, 39.39756965637207
9, 0.913, 44.19200921058655
10, 0.52415, 49.52801442146301
11, 0.623975, 54.289292335510254
12, 0.771825, 59.24787139892578
13, 0.87895, 63.74447798728943
14, 0.89305, 68.68632555007935
15, 0.89565, 72.98845863342285
16, 0.904525, 77.6169605255127
17, 0.91395, 81.98466444015503
18, 0.9082, 86.60230994224548
19, 0.91835, 90.79743552207947
20, 0.801125, 95.46525287628174
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.29194444444444445, 4.108333333333333
1, 0.310625, 3.2600000000000002
2, 0.4618055555555555, 3.7916666666666665
3, 0.6133333333333333, 4.403333333333333
4, 0.8150000000000001, 4.166666666666667
5, 0.9134027777777779, 4.13
6, 0.95375, 3.6366666666666667
7, 0.9797916666666667, 4.2316666666666665
8, 0.9856250000000001, 3.603333333333334
9, 0.9384722222222223, 4.0200000000000005
10, 0.915486111111111, 3.7266666666666666
11, 0.9488888888888889, 4.539999999999999
12, 0.9506249999999999, 4.236666666666667
13, 0.9684027777777778, 4.655
14, 0.9626388888888888, 4.04
15, 0.9730555555555557, 3.6733333333333333
16, 0.9831249999999999, 3.8683333333333336
17, 0.9796527777777778, 4.016666666666667
18, 0.98475, 3.786
19, 0.9818055555555555, 4.265
