Dataset: emnist
Number of clients: 6
Number of splits: 100
Number of training rounds: 10
Number of selected clients per round: 3
Server values: 
round, accuracy, accumulated_time
1, 0.272625, 1.8643548488616943
2, 0.290275, 3.7127134799957275
3, 0.695875, 5.765027046203613
4, 0.3857, 7.833803176879883
5, 0.658525, 9.87128233909607
6, 0.88545, 11.878154516220093
7, 0.900225, 13.693967580795288
8, 0.899775, 15.544413089752197
9, 0.90275, 17.374161958694458
10, 0.465225, 19.201565265655518
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.28027777777777774, 1.6933333333333334
1, 0.38798611111111114, 1.7249999999999999
2, 0.7343055555555557, 1.9333333333333333
3, 0.7933333333333333, 1.9383333333333332
4, 0.8955555555555555, 1.91
5, 0.8786111111111112, 1.875
6, 0.9352083333333333, 1.6799999999999997
7, 0.9778472222222222, 1.7216666666666667
8, 0.9745138888888888, 1.705
9, 0.9272916666666667, 1.7
